project	file	line	col	category	expected	member	chars_saved	import_based	source
cats-mtl	core/src/main/scala/cats/mtl/MonadPartialOrder.scala	90	47	typed_decl	cats.data.IorT	liftF	4	false	IorT.liftF
cats-mtl	core/src/main/scala/cats/mtl/LiftValue.scala	121	50	typed_decl	cats.data.EitherT	liftF	7	false	EitherT.liftF
cats-mtl	core/src/main/scala/cats/mtl/LiftValue.scala	134	47	typed_decl	cats.data.IorT	liftF	4	false	IorT.liftF
cats-mtl	core/src/main/scala/cats/mtl/LiftValue.scala	159	47	typed_decl	cats.data.OptionT	liftF	7	false	OptionT.liftF
cats-mtl	core/src/main/scala/cats/mtl/LiftValue.scala	204	50	typed_decl	cats.data.WriterT	liftF	7	false	WriterT.liftF
cats-mtl	core/src/main/scala/cats/mtl/LiftKind.scala	126	50	typed_decl	cats.data.EitherT	liftF	7	false	EitherT.liftF
cats-mtl	core/src/main/scala/cats/mtl/LiftKind.scala	141	47	typed_decl	cats.data.IorT	liftF	4	false	IorT.liftF
cats-mtl	core/src/main/scala/cats/mtl/LiftKind.scala	170	47	typed_decl	cats.data.OptionT	liftF	7	false	OptionT.liftF
cats-mtl	core/src/main/scala/cats/mtl/LiftKind.scala	187	50	typed_decl	cats.data.WriterT	liftF	7	false	WriterT.liftF
cats-mtl	core/src/main/scala/cats/mtl/Ask.scala	84	47	typed_decl	cats.mtl.Ask	const	0	true	const
cats-mtl	core/src/main/scala/cats/mtl/Chronicle.scala	116	48	typed_decl	cats.data.WriterT	liftF	7	false	WriterT.liftF
cats-mtl	core/src/main/scala/cats/mtl/Chronicle.scala	117	48	typed_decl	cats.data.WriterT	liftF	7	false	WriterT.liftF
cats-mtl	core/src/main/scala/cats/mtl/Chronicle.scala	126	49	typed_decl	cats.data.EitherT	liftF	7	false	EitherT.liftF
cats-mtl	core/src/main/scala/cats/mtl/Chronicle.scala	127	49	typed_decl	cats.data.EitherT	liftF	7	false	EitherT.liftF
cats-mtl	core/src/main/scala/cats/mtl/Chronicle.scala	161	45	typed_decl	cats.data.OptionT	liftF	7	false	OptionT.liftF
cats-mtl	core/src/main/scala/cats/mtl/Chronicle.scala	162	45	typed_decl	cats.data.OptionT	liftF	7	false	OptionT.liftF
cats-mtl	core/src/main/scala/cats/mtl/Ask.scala	108	45	typed_decl	cats.mtl.Ask	const	0	true	const
